,upc,sku,
523,8.82956E+11,0,0
524,7.15663E+11,0,0
525,8.89296E+11,0,0
526,12304220725,260974729,1
527,81159921040,292339479,1
528,8.86228E+11,270607159,1
529,8.86228E+11,276845668,1
530,7.8692E+11,0,0
531,8.89349E+11,292074460,1
532,8.89561E+11,292336718,1
533,8.88864E+11,0,0
534,8.84116E+11,288034951,1
535,7.25184E+11,283973931,1
536,8.84116E+11,270725172,1
537,8.89801E+11,0,0
538,8.88863E+11,284926815,1
539,8.87899E+11,260974726,1
540,8.879E+11,276427107,1
541,22265896815,277142694,1
542,7.15408E+11,0,0
543,53474784914,0,0
544,8.86228E+11,0,0
545,8.879E+11,0,0
546,8.89899E+11,0,0
547,8.89899E+11,294123181,1
548,9.44414E+11,270095410,1
549,8.84116E+11,0,0
550,8.89895E+11,0,0
551,7.66653E+11,0,0
552,7.41271E+11,0,0
553,8.40135E+11,272813888,1
554,7.15408E+11,0,0
555,8.88794E+11,0,0
556,8.88793E+11,0,0
557,45555973072,0,0
558,8.84116E+11,291909703,1
559,8.88863E+11,0,0
560,7.15408E+11,0,0
561,8.89801E+11,292338315,1
562,8.87771E+11,0,0
563,8.88863E+11,283352783,1
564,8.88794E+11,283131010,1
565,7.66653E+11,0,0
566,8.88772E+11,270690550,1
567,8.89894E+11,0,0
568,8.87899E+11,0,0
569,7.38677E+11,292334337,1
570,8.88182E+11,257571505,1
571,8.84116E+11,292338496,1
572,8.88863E+11,284930957,1
573,8.879E+11,270095399,1
574,8.88794E+11,277388601,1
575,8.89296E+11,288382831,1
576,8.879E+11,285928044,1
577,8.879E+11,276347713,1
578,8.879E+11,0,0
579,8.89801E+11,286066200,1
580,23798484333,0,0
581,8.89899E+11,294033426,1
582,8.84116E+11,0,0
583,8.88182E+11,0,0
584,8.88863E+11,0,0
585,8.88863E+11,283592185,1
586,8.88863E+11,0,0
587,8.88863E+11,288389790,1
588,8.88863E+11,288389791,1
589,8.88863E+11,288389762,1
590,7.00444E+11,0,0
591,8.879E+11,275311136,1
592,8.89895E+11,288371972,1
593,8.84116E+11,292335808,1
594,8.84116E+11,0,0
595,8.89661E+11,292339794,1
596,8.84116E+11,0,0
597,8.89895E+11,0,0
598,8.87173E+11,292340099,1
599,6.41676E+11,0,0
600,12300268271,260974726,1
601,7.17356E+11,0,0
602,7.15408E+11,0,0
603,8.88863E+11,288389771,1
604,8.88863E+11,0,0
